symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2020-01-31 00:00:00+00:00,20.55,20.55,20.55,20.55,0,20.2463472924,20.2463472924,20.2463472924,20.2463472924,0,0.0,1.0
NASDX,2020-02-03 00:00:00+00:00,20.86,20.86,20.86,20.86,0,20.5517666433,20.5517666433,20.5517666433,20.5517666433,0,0.0,1.0
NASDX,2020-02-04 00:00:00+00:00,21.34,21.34,21.34,21.34,0,21.0246740253,21.0246740253,21.0246740253,21.0246740253,0,0.0,1.0
NASDX,2020-02-05 00:00:00+00:00,21.41,21.41,21.41,21.41,0,21.0936396852,21.0936396852,21.0936396852,21.0936396852,0,0.0,1.0
NASDX,2020-02-06 00:00:00+00:00,21.6,21.6,21.6,21.6,0,21.2808321906,21.2808321906,21.2808321906,21.2808321906,0,0.0,1.0
NASDX,2020-02-07 00:00:00+00:00,21.5,21.5,21.5,21.5,0,21.1823098193,21.1823098193,21.1823098193,21.1823098193,0,0.0,1.0
NASDX,2020-02-10 00:00:00+00:00,21.76,21.76,21.76,21.76,0,21.4384679846,21.4384679846,21.4384679846,21.4384679846,0,0.0,1.0
NASDX,2020-02-11 00:00:00+00:00,21.77,21.77,21.77,21.77,0,21.4483202217,21.4483202217,21.4483202217,21.4483202217,0,0.0,1.0
NASDX,2020-02-12 00:00:00+00:00,21.98,21.98,21.98,21.98,0,21.6552172014,21.6552172014,21.6552172014,21.6552172014,0,0.0,1.0
NASDX,2020-02-13 00:00:00+00:00,21.95,21.95,21.95,21.95,0,21.62566049,21.62566049,21.62566049,21.62566049,0,0.0,1.0
NASDX,2020-02-14 00:00:00+00:00,22.01,22.01,22.01,22.01,0,21.6847739127,21.6847739127,21.6847739127,21.6847739127,0,0.0,1.0
NASDX,2020-02-18 00:00:00+00:00,22.02,22.02,22.02,22.02,0,21.6946261499,21.6946261499,21.6946261499,21.6946261499,0,0.0,1.0
NASDX,2020-02-19 00:00:00+00:00,22.24,22.24,22.24,22.24,0,21.9113753666,21.9113753666,21.9113753666,21.9113753666,0,0.0,1.0
